market,canonical_service,price_scope,commercial_context,observations_n,providers_n,min_ars,q1_ars,median_ars,q3_ars,max_ars,spread_ratio,evidence_confidence,decision_ready,range_ready,lineage_gate_version,observation_ids
Buenos Aires,REPARACION_HARDWARE,UNKNOWN,STANDARD,4,1,38000.0,53000.0,58000.0,63000.0,78000.0,2.053,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,76|79|80|81
Buenos Aires,LIMPIEZA_MANTENIMIENTO,UNKNOWN,STANDARD,3,1,40000.0,43000.0,46000.0,59000.0,72000.0,1.8,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,60|77|78
Buenos Aires,INSTALACION_PROGRAMAS,UNKNOWN,STANDARD,2,1,30000.0,31000.0,32000.0,33000.0,34000.0,1.133,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,64|65
Buenos Aires,VISITA_TECNICA_DOMICILIO,PER_HOUR,STANDARD,2,1,50000.0,62000.0,74000.0,86000.0,98000.0,1.96,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,69|70
Buenos Aires,CLONADO_DISCO,UNKNOWN,STANDARD,2,1,78000.0,90000.0,102000.0,114000.0,126000.0,1.615,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,71|72
Buenos Aires,ARMADO_PC,UNKNOWN,STANDARD,2,1,130000.0,150000.0,170000.0,190000.0,210000.0,1.615,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,74|75
Córdoba,BACKUP_DATOS,UNKNOWN,STANDARD,1,1,35000.0,35000.0,35000.0,35000.0,35000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,49
Córdoba,INSTALACION_PROGRAMAS,UNKNOWN,STANDARD,1,1,40000.0,40000.0,40000.0,40000.0,40000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,51
Córdoba,REPARACION_INICIO_WINDOWS,UNKNOWN,STANDARD,1,1,40000.0,40000.0,40000.0,40000.0,40000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,56
Córdoba,HARD_RESET,UNKNOWN,STANDARD,1,1,45000.0,45000.0,45000.0,45000.0,45000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,57
Buenos Aires,DIAGNOSTICO_REVISION,UNKNOWN,STANDARD,1,1,30000.0,30000.0,30000.0,30000.0,30000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,58
Buenos Aires,FORMATEO_INSTALACION_SO,UNKNOWN,STANDARD,1,1,86000.0,86000.0,86000.0,86000.0,86000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,59
Buenos Aires,BACKUP_DATOS,PER_UNIT,STANDARD,1,1,38000.0,38000.0,38000.0,38000.0,38000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,62
Buenos Aires,CONFIGURACION_EQUIPO,UNKNOWN,STANDARD,1,1,78000.0,78000.0,78000.0,78000.0,78000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,63
Buenos Aires,INSTALACION_DRIVERS,UNKNOWN,STANDARD,1,1,38000.0,38000.0,38000.0,38000.0,38000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,66
Buenos Aires,ELIMINACION_MALWARE,UNKNOWN,STANDARD,1,1,46000.0,46000.0,46000.0,46000.0,46000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,67
Buenos Aires,REPARACION_INICIO_WINDOWS,UNKNOWN,STANDARD,1,1,70000.0,70000.0,70000.0,70000.0,70000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,73
Buenos Aires,HARD_RESET,UNKNOWN,STANDARD,1,1,70000.0,70000.0,70000.0,70000.0,70000.0,1.0,INSUFFICIENT,NO,NO,runtime-cohort-lineage-gate-v1,82
