market,canonical_service,price_scope,commercial_context,observations_n,providers_n,min_ars,q1_ars,median_ars,q3_ars,max_ars,spread_ratio,evidence_confidence,decision_ready,range_ready
CABA,LIMPIEZA_MANTENIMIENTO,UNKNOWN,STANDARD,5,4,26325.0,28000.0,36855.0,45000.0,70000.0,2.659,INSUFFICIENT,NO,NO
Buenos Aires,REPARACION_HARDWARE,UNKNOWN,STANDARD,4,1,38000.0,53000.0,58000.0,63000.0,78000.0,2.053,INSUFFICIENT,NO,NO
CABA,VISITA_TECNICA_DOMICILIO,UNKNOWN,STANDARD,3,3,9000.0,12000.0,15000.0,30000.0,45000.0,5.0,INSUFFICIENT,NO,NO
Córdoba,INSTALACION_PROGRAMAS,UNKNOWN,STANDARD,3,2,10000.0,15000.0,20000.0,30000.0,40000.0,4.0,INSUFFICIENT,NO,NO
Buenos Aires,INSTALACION_PROGRAMAS,UNKNOWN,STANDARD,3,2,30000.0,32000.0,34000.0,36000.0,38000.0,1.267,LOW,NO,YES
Buenos Aires,VISITA_TECNICA_DOMICILIO,PER_HOUR,STANDARD,3,2,44000.0,47000.0,50000.0,74000.0,98000.0,2.227,INSUFFICIENT,NO,NO
Buenos Aires,LIMPIEZA_MANTENIMIENTO,UNKNOWN,STANDARD,3,1,40000.0,43000.0,46000.0,59000.0,72000.0,1.8,INSUFFICIENT,NO,NO
Córdoba,ELIMINACION_MALWARE,UNKNOWN,STANDARD,3,1,20000.0,22500.0,25000.0,35000.0,45000.0,2.25,INSUFFICIENT,NO,NO
Buenos Aires,DIAGNOSTICO_REVISION,UNKNOWN,STANDARD,2,2,20000.0,22500.0,25000.0,27500.0,30000.0,1.5,INSUFFICIENT,NO,NO
Tucumán,LIMPIEZA_MANTENIMIENTO,UNKNOWN,STANDARD,2,2,20000.0,23750.0,27500.0,31250.0,35000.0,1.75,INSUFFICIENT,NO,NO
