market,canonical_service,price_scope,commercial_context,observations_n,providers_n,min_ars,q1_ars,median_ars,q3_ars,max_ars,spread_ratio,evidence_confidence,decision_ready,range_ready
AR,SOPORTE_REMOTO,PER_HOUR,STANDARD,3,3,28000.0,29000.0,30000.0,35000.0,40000.0,1.429,LOW,NO,YES
AR,HOSTING_ADMINISTRADO,UNKNOWN,STANDARD,2,2,15000.0,20750.0,26500.0,32250.0,38000.0,2.533,INSUFFICIENT,NO,NO
AR,SOPORTE_REMOTO,UNKNOWN,STANDARD,1,1,35000.0,35000.0,35000.0,35000.0,35000.0,1.0,INSUFFICIENT,NO,NO
AR,VPS_ADMINISTRADO,UNKNOWN,STANDARD,1,1,78000.0,78000.0,78000.0,78000.0,78000.0,1.0,INSUFFICIENT,NO,NO
AR,WEB_LANDING,UNKNOWN,STANDARD,1,1,180000.0,180000.0,180000.0,180000.0,180000.0,1.0,INSUFFICIENT,NO,NO
AR,WEB_SITIO_INSTITUCIONAL,UNKNOWN,STANDARD,1,1,320000.0,320000.0,320000.0,320000.0,320000.0,1.0,INSUFFICIENT,NO,NO
AR,WEB_ECOMMERCE,UNKNOWN,STANDARD,1,1,650000.0,650000.0,650000.0,650000.0,650000.0,1.0,INSUFFICIENT,NO,NO
AR,WEB_MANTENIMIENTO,PER_MONTH,STANDARD,1,1,45000.0,45000.0,45000.0,45000.0,45000.0,1.0,INSUFFICIENT,NO,NO
AR,SOPORTE_REMOTO,PER_HOUR,URGENCY,1,1,48000.0,48000.0,48000.0,48000.0,48000.0,1.0,INSUFFICIENT,NO,NO
AR,DESARROLLO_SOFTWARE_HORA,UNKNOWN,STANDARD,1,1,98000.0,98000.0,98000.0,98000.0,98000.0,1.0,INSUFFICIENT,NO,NO
