observation_id,source,province,city,economic_object_raw,price_value,currency,semantic_role,market_scope,matched_services,canonical_service,comparability_key,original_comparable_status,extractor_version
1,jadetech_generic,CABA,CABA,Formateo e instalación de Sistema Operativo sin BackUp Categorías: Servicio técnico,42120,ARS,COMPOSITE_SERVICE,MIXED_OR_UNKNOWN,FORMATEO_INSTALACION_SO|BACKUP_DATOS,,,INDETERMINATE,generic_price_extractor_v3
2,jadetech_generic,CABA,CABA,Limpieza de hardware + Formateo e instalacion de windows PC gamer Categorías: Servicio técnico,75000,ARS,COMPOSITE_SERVICE,MIXED_OR_UNKNOWN,FORMATEO_INSTALACION_SO|LIMPIEZA_MANTENIMIENTO,,,INDETERMINATE,generic_price_extractor_v3
3,jadetech_generic,CABA,CABA,Limpieza Hardware + Formateo e instalación de Sistema Operativo + Programas Básicos + BackUp hasta 100gb + (CAMBIO A SSD) Categorías: Servicio técnico,54534,ARS,COMPOSITE_SERVICE,MIXED_OR_UNKNOWN,FORMATEO_INSTALACION_SO|LIMPIEZA_MANTENIMIENTO|BACKUP_DATOS|INSTALACION_PROGRAMAS,,,INDETERMINATE,generic_price_extractor_v3
4,jadetech_generic,CABA,CABA,BackUp de Datos cada 100gb Extras Categorías: Servicio técnico,21060,ARS,SINGLE_SERVICE,LOCAL_SERVICE,BACKUP_DATOS,BACKUP_DATOS,CABA::BACKUP_DATOS,INDETERMINATE,generic_price_extractor_v3
5,jadetech_generic,CABA,CABA,Inicialización de equipo nuevo (configuración + Programas Básicos) Categorías: Servicio técnico,42120,ARS,COMPOSITE_SERVICE,MIXED_OR_UNKNOWN,INSTALACION_PROGRAMAS|CONFIGURACION_EQUIPO,,,INDETERMINATE,generic_price_extractor_v3
6,jadetech_generic,CABA,CABA,Instalación Programas OpenSource x1 Categorías: Servicio técnico,12636,ARS,SINGLE_SERVICE,LOCAL_SERVICE,INSTALACION_PROGRAMAS,INSTALACION_PROGRAMAS,CABA::INSTALACION_PROGRAMAS,INDETERMINATE,generic_price_extractor_v3
7,jadetech_generic,CABA,CABA,Instalación Programas comerciales x1 provistos Categorías: Servicio técnico,15795,ARS,SINGLE_SERVICE,LOCAL_SERVICE,INSTALACION_PROGRAMAS,INSTALACION_PROGRAMAS,CABA::INSTALACION_PROGRAMAS,INDETERMINATE,generic_price_extractor_v3
8,jadetech_generic,CABA,CABA,Instalación y configuración de Drivers Categorías: Servicio técnico,21060,ARS,SINGLE_SERVICE,LOCAL_SERVICE,INSTALACION_DRIVERS,INSTALACION_DRIVERS,CABA::INSTALACION_DRIVERS,INDETERMINATE,generic_price_extractor_v3
9,jadetech_generic,CABA,CABA,"Limpieza de hardware + Cambio de Pasta térmica (Notebook, AIO, CONSOLAS) Categorías: Servicio técnico",26325,ARS,SINGLE_SERVICE,LOCAL_SERVICE,LIMPIEZA_MANTENIMIENTO,LIMPIEZA_MANTENIMIENTO,CABA::LIMPIEZA_MANTENIMIENTO,INDETERMINATE,generic_price_extractor_v3
10,jadetech_generic,CABA,CABA,Limpieza de hardware + Cambio de Pasta térmica (PC) Categorías: Servicio técnico,36855,ARS,SINGLE_SERVICE,LOCAL_SERVICE,LIMPIEZA_MANTENIMIENTO,LIMPIEZA_MANTENIMIENTO,CABA::LIMPIEZA_MANTENIMIENTO,INDETERMINATE,generic_price_extractor_v3
